"This file was written by the 'Score!' program"
"'Score!' is a program for scorekeeping aerobatic contests"
""
"Contest Name:","copa ACONCAGUA 2da Fecha Chile"
"Type:","Pilot Report"
"Timestamp:","1-nov-2022 10:09"
"Pilot:","Federico Troitiño / CACH #105 / Basic"
""
"Known Flights: Rounds 1-4, Judge/Sheet #1"
" "
"R1/S1","R1/S2","R2/S1","R2/S2","R3/S1","R4/S1"
"1: Aileron Roll (k=10)",7.0,8.0,7.0,5.0,7.0,7.0
"2: Shark's Tooth (k=17)",7.5,7.0,6.0,6.0,6.0,6.0
"3: Humpty Bump (k=17)",6.0,5.0,6.0,7.0,5.0,7.0
"4: 360 Aerobatic Turn (k=6)",8.0,4.0,7.0,5.0,6.0,6.0
"5: Stall Turn Hamerhead (k=17)",5.0,7.0,5.0,7.0,6.0,7.0
"6: Reverse 1/2 Cuban (k=16)",0.0,7.0,5.0,7.0,7.0,8.0
"7: Loop (k=10)",0.0,5.0,6.0,6.0,5.0,5.0
"8: Vertical 5/8 Loop/Reverse Tear Drop (k=16)",0.0,4.0,6.0,7.0,6.0,6.0
"9: 1/2 Inside Loop (Immelmann) (k=10)",0.0,6.0,5.0,7.0,6.0,6.0
"10: 1 1/2 PositiveTurn Spin (k=13)",0.0,5.0,0.0,4.0,5.0,4.0
"11: Sound (k=3)",0.0,10.0,10.0,10.0,10.0,10.0
"12: Airspace Control (k=3)",0.0,10.0,9.0,9.0,9.0,9.0
"Simple Sum",33.5,78.0,72.0,80.0,78.0,81.0
"K-Factored Sum",432.5,838.0,744.0,883.0,835.0,889.0
"Penalty",0.0,0.0,0.0,0.0,0.0,0.0
"Flight Score",432.5,838.0,744.0,883.0,835.0,889.0
"Known Flights: Rounds 1-4, Judge/Sheet #2"
" "
"R1/S1","R1/S2","R2/S1","R2/S2","R3/S1","R4/S1"
"1: Aileron Roll (k=10)",8.5,9.0,8.0,7.0,8.0,9.0
"2: Shark's Tooth (k=17)",9.0,9.0,7.0,7.0,7.0,8.0
"3: Humpty Bump (k=17)",9.0,9.0,7.0,7.5,7.0,8.0
