"This file was written by the 'Score!' program"
"'Score!' is a program for scorekeeping aerobatic contests"
""
"Contest Name:","copa ACONCAGUA 2da Fecha Chile"
"Type:","Pilot Report"
"Timestamp:","1-nov-2022 10:09"
"Pilot:","Nicolas Valencia / CACH #109 / Basic"
""
"Known Flights: Rounds 1-4, Judge/Sheet #1"
" "
"R1/S1","R1/S2","R2/S1","R2/S2","R3/S1","R4/S1"
"1: Aileron Roll (k=10)",4.0,0.0,6.5,6.0,5.0,6.0
"2: Shark's Tooth (k=17)",4.0,0.0,6.0,6.0,5.0,7.0
"3: Humpty Bump (k=17)",5.0,0.0,5.0,5.0,5.0,6.0
"4: 360 Aerobatic Turn (k=6)",6.0,0.0,5.0,5.0,6.0,6.0
"5: Stall Turn Hamerhead (k=17)",7.0,0.0,7.0,4.0,5.0,4.0
"6: Reverse 1/2 Cuban (k=16)",7.0,0.0,6.0,5.0,3.0,0.0
"7: Loop (k=10)",3.0,0.0,4.0,3.0,2.0,2.0
"8: Vertical 5/8 Loop/Reverse Tear Drop (k=16)",5.0,0.0,5.0,5.0,6.0,4.0
"9: 1/2 Inside Loop (Immelmann) (k=10)",5.0,0.0,5.0,0.0,6.0,4.0
"10: 1 1/2 PositiveTurn Spin (k=13)",4.0,0.0,0.0,0.0,6.0,5.0
"11: Sound (k=3)",10.0,0.0,8.0,8.0,10.0,10.0
"12: Airspace Control (k=3)",9.0,0.0,9.0,9.0,10.0,5.0
"Simple Sum",69.0,0.0,66.5,56.0,69.0,59.0
"K-Factored Sum",729.0,0.0,718.0,586.0,703.0,619.0
"Penalty",0.0,0.0,0.0,0.0,0.0,0.0
"Flight Score",729.0,0.0,718.0,586.0,703.0,619.0
"Known Flights: Rounds 1-4, Judge/Sheet #2"
" "
"R1/S1","R1/S2","R2/S1","R2/S2","R3/S1","R4/S1"
"1: Aileron Roll (k=10)",7.0,0.0,7.0,6.5,9.0,8.0
"2: Shark's Tooth (k=17)",6.5,0.0,7.0,5.0,9.0,6.5
"3: Humpty Bump (k=17)",7.5,0.0,6.0,6.0,8.0,6.5
"4: 360 Aerobatic Turn (k=6)",7.0,0.0,7.0,5.0,6.0,7.0
"5: Stall Turn Hamerhead (k=17)",8.0,0.0,5.0,4.0,6.0,6.0
"6: Reverse 1/2 Cuban (k=16)",6.5,0.0,7.0,5.0,5.0,0.0
"7: Loop (k=10)",6.0,0.0,7.0,5.0,6.0,4.0
"8: Vertical 5/8 Loop/Reverse Tear Drop (k=16)",8.0,0.0,6.0,4.0,7.0,6.0
"9: 1/2 Inside Loop (Immelmann) (k=10)",7.0,0.0,7.0,0.0,6.0,5.0
"10: 1 1/2 PositiveTurn Spin (k=13)",4.0,0.0,0.0,0.0,6.0,6.0
"11: Sound (k=3)",7.0,0.0,7.0,7.0,7.0,6.0
"12: Airspace Control (k=3)",7.0,0.0,6.0,6.0,6.0,4.0
"Simple Sum",81.5,0.0,72.0,53.5,81.0,65.0
"K-Factored Sum",942.0,0.0,805.0,583.0,946.0,739.0
"Penalty",0.0,0.0,0.0,0.0,0.0,0.0
"Flight Score",942.0,0.0,805.0,583.0,946.0,739.0
"Known Flights: Rounds 1-4, Judge/Sheet #3"
" "
"R1/S1","R1/S2","R2/S1","R2/S2","R3/S1","R4/S1"
"1: Aileron Roll (k=10)",5.0,0.0,5.0,5.0,6.0,7.0
"2: Shark's Tooth (k=17)",4.0,0.0,6.0,4.0,5.0,6.0
"3: Humpty Bump (k=17)",6.0,0.0,5.0,6.0,6.0,5.0
"4: 360 Aerobatic Turn (k=6)",5.0,0.0,6.0,3.0,4.0,5.0
"5: Stall Turn Hamerhead (k=17)",6.0,0.0,4.0,5.0,5.0,3.0
