"This file was written by the 'Score!' program"
"'Score!' is a program for scorekeeping aerobatic contests"
""
"Contest Name:","copa ACONCAGUA 2da Fecha Chile"
"Type:","Pilot Report"
"Timestamp:","1-nov-2022 10:09"
"Pilot:","Sergio Pizarro / CACH #110 / Basic"
""
"Known Flights: Rounds 1-4, Judge/Sheet #1"
" "
"R1/S1","R1/S2","R2/S1","R2/S2","R3/S1","R4/S1"
"1: Aileron Roll (k=10)",4.0,5.0,5.0,4.0,4.0,5.0
"2: Shark's Tooth (k=17)",0.0,4.0,4.0,5.0,5.0,5.0
"3: Humpty Bump (k=17)",2.0,0.0,4.0,2.0,4.0,7.0
"4: 360 Aerobatic Turn (k=6)",5.0,4.0,4.0,4.0,7.0,7.0
"5: Stall Turn Hamerhead (k=17)",0.0,4.0,6.0,4.0,6.0,0.0
"6: Reverse 1/2 Cuban (k=16)",0.0,4.0,7.0,6.0,6.0,6.0
"7: Loop (k=10)",4.0,2.0,3.0,3.0,5.0,4.0
"8: Vertical 5/8 Loop/Reverse Tear Drop (k=16)",0.0,0.0,4.0,3.0,4.0,5.0
"9: 1/2 Inside Loop (Immelmann) (k=10)",3.0,3.0,3.0,5.0,5.0,4.0
"10: 1 1/2 PositiveTurn Spin (k=13)",0.0,0.0,0.0,0.0,0.0,4.0
"11: Sound (k=3)",10.0,10.0,10.0,10.0,10.0,10.0
"12: Airspace Control (k=3)",0.0,0.0,7.0,7.0,8.0,7.0
"Simple Sum",28.0,36.0,57.0,53.0,64.0,64.0
"K-Factored Sum",204.0,354.0,599.0,526.0,651.0,655.0
"Penalty",0.0,0.0,0.0,0.0,0.0,0.0
"Flight Score",204.0,354.0,599.0,526.0,651.0,655.0
"Known Flights: Rounds 1-4, Judge/Sheet #2"
" "
"R1/S1","R1/S2","R2/S1","R2/S2","R3/S1","R4/S1"
"1: Aileron Roll (k=10)",2.0,7.0,7.0,6.0,8.0,6.5
"2: Shark's Tooth (k=17)",2.0,6.0,6.0,7.0,6.0,6.0
"3: Humpty Bump (k=17)",4.0,4.0,6.0,3.0,4.0,7.0
"4: 360 Aerobatic Turn (k=6)",4.0,5.0,5.0,5.0,6.0,6.5
"5: Stall Turn Hamerhead (k=17)",0.0,5.0,6.0,2.0,5.0,0.0
"6: Reverse 1/2 Cuban (k=16)",2.0,5.0,7.0,6.0,6.0,6.0
"7: Loop (k=10)",4.0,4.0,4.0,5.0,8.0,5.0
"8: Vertical 5/8 Loop/Reverse Tear Drop (k=16)",0.0,0.0,5.0,5.0,6.5,6.5
"9: 1/2 Inside Loop (Immelmann) (k=10)",5.0,3.0,2.0,6.0,5.0,6.0
"10: 1 1/2 PositiveTurn Spin (k=13)",0.0,0.0,0.0,0.0,0.0,7.0
"11: Sound (k=3)",5.0,5.0,7.0,7.0,7.0,7.0
"12: Airspace Control (k=3)",2.0,2.0,6.0,6.0,6.0,5.0
"Simple Sum",30.0,46.0,61.0,58.0,67.5,68.5
"K-Factored Sum",289.0,526.0,697.0,619.0,740.0,762.0
"Penalty",0.0,0.0,0.0,0.0,0.0,0.0
"Flight Score",289.0,526.0,697.0,619.0,740.0,762.0
"Known Flights: Rounds 1-4, Judge/Sheet #3"
" "
"R1/S1","R1/S2","R2/S1","R2/S2","R3/S1","R4/S1"
"1: Aileron Roll (k=10)",2.0,4.0,5.0,3.0,5.0,3.0
"2: Shark's Tooth (k=17)",0.0,0.0,4.0,4.0,6.0,1.0
"3: Humpty Bump (k=17)",3.0,3.0,5.0,3.0,4.0,6.0
"4: 360 Aerobatic Turn (k=6)",2.0,3.0,4.0,3.0,6.0,5.0
"5: Stall Turn Hamerhead (k=17)",0.0,2.0,5.0,0.0,4.0,0.0
"6: Reverse 1/2 Cuban (k=16)",0.0,4.0,6.0,5.0,5.0,3.0
"7: Loop (k=10)",4.0,3.0,2.0,2.0,6.0,4.0
"8: Vertical 5/8 Loop/Reverse Tear Drop (k=16)",0.0,0.0,3.0,3.0,3.0,3.0
"9: 1/2 Inside Loop (Immelmann) (k=10)",3.0,4.0,0.0,4.0,3.0,2.0
"10: 1 1/2 PositiveTurn Spin (k=13)",0.0,0.0,0.0,0.0,0.0,4.0
"11: Sound (k=3)",6.0,6.0,6.0,6.0,6.0,6.0
"12: Airspace Control (k=3)",4.0,4.0,4.0,4.0,5.0,5.0
"Simple Sum",24.0,33.0,44.0,37.0,53.0,42.0
"K-Factored Sum",183.0,307.0,506.0,385.0,575.0,420.0
"Penalty",0.0,0.0,0.0,0.0,0.0,0.0
"Flight Score",183.0,307.0,506.0,385.0,575.0,420.0
"Known Flights: Rounds 1-4, Judge/Sheet #4"
" "
"R1/S1","R1/S2","R2/S1","R2/S2","R3/S1","R4/S1"
"1: Aileron Roll (k=10)",3.0,5.0,5.0,5.0,6.0,5.0
"2: Shark's Tooth (k=17)",0.0,3.0,5.0,6.0,5.0,6.0
