"This file was written by the 'Score!' program"
"'Score!' is a program for scorekeeping aerobatic contests"
""
"Contest Name:","copa ACONCAGUA 2da Fecha Chile"
"Type:","Pilot Report"
"Timestamp:","1-nov-2022 10:09"
"Pilot:","JULIAN GIRAUDO / CACH #500 / Unlimited / ARGENTINA"
""
"Known Flights: Rounds 1-3, Judge/Sheet #1"
" "
"R1/S1","R1/S2","R2/S1","R2/S2","R3/S1"
"1: Reverse Half Cuban (k=53)",7.0,8.0,8.0,8.0,7.0
"2: Diagonal Humpty Bump (k=43)",7.0,8.0,8.0,8.0,7.5
"3: Stall Turn (Hammerhead) (k=62)",7.0,7.0,7.0,7.5,7.0
"4: Rolling Turn (k=46)",6.0,6.0,6.0,6.0,7.0
"5: Reverse Vertical 5/8 Loop (Teardrop) (k=43)",7.0,6.0,7.5,7.5,8.0
"6: Humpty Bump (k=38)",8.0,8.0,7.0,8.0,7.0
"7: Half Loop (Immelmann) (k=49)",7.0,7.0,6.0,5.5,7.0
"8: Down Loop (k=27)",5.0,6.0,6.5,6.0,5.0
"9: Spin/Vertical 5/8 Loop (k=48)",7.0,6.0,7.0,7.5,7.5
"10: Horizontal S (k=51)",7.0,7.0,7.5,7.0,8.0
"11: Sound (k=15)",9.0,8.0,8.0,8.0,8.0
"12: Airspace Control (k=15)",9.0,8.0,8.0,8.0,8.0
"Simple Sum",86.0,85.0,86.5,87.0,87.0
"K-Factored Sum",3428.0,3430.0,3494.5,3524.0,3545.5
"Penalty",0.0,0.0,0.0,0.0,0.0
"Flight Score",3428.0,3430.0,3494.5,3524.0,3545.5
"Known Flights: Rounds 1-3, Judge/Sheet #2"
" "
"R1/S1","R1/S2","R2/S1","R2/S2","R3/S1"
"1: Reverse Half Cuban (k=53)",6.0,7.0,8.0,8.0,7.0
"2: Diagonal Humpty Bump (k=43)",8.0,7.0,7.0,8.0,7.0
"3: Stall Turn (Hammerhead) (k=62)",6.0,8.0,6.0,7.0,8.0
"4: Rolling Turn (k=46)",5.0,6.0,6.0,5.0,5.0
"5: Reverse Vertical 5/8 Loop (Teardrop) (k=43)",7.0,6.0,8.0,7.0,7.5
"6: Humpty Bump (k=38)",8.0,8.0,8.0,8.0,8.0
"7: Half Loop (Immelmann) (k=49)",6.0,6.0,7.0,6.0,9.0
"8: Down Loop (k=27)",5.0,6.0,7.0,7.0,6.0
"9: Spin/Vertical 5/8 Loop (k=48)",8.0,5.0,7.0,7.0,7.0
"10: Horizontal S (k=51)",7.5,6.0,7.0,8.0,8.0
"11: Sound (k=15)",8.0,8.0,8.0,8.0,8.0
"12: Airspace Control (k=15)",8.0,8.0,8.0,8.0,8.0
